,Line 1 Street Address,coordinates
501,2142 SUTTER ST San Francisco,"(37.785872, -122.435701)"
504,109 BARTLETT ST San Francisco,"(37.755027, -122.419505)"
506,1726 FILLMORE ST San Francisco,"(37.78562480000001, -122.4329794)"
508,55 NEW MONTGOMERY San Francisco,"(37.7882423, -122.4010512)"
510,870 MARKET ST San Francisco,"(37.7850854, -122.407624)"
511,3626 SACRAMENTO ST San Francisco,"(37.7877376, -122.4525438)"
513,2252 FILLMORE ST San Francisco,"(37.7905554, -122.4339601)"
514,1811 17TH AVE San Francisco,"(37.7540439, -122.4745791)"
516,414 GOUGH ST San Francisco,"(37.7772335, -122.4229613)"
517,417 SPRUCE ST San Francisco,"(37.7871681, -122.4537101)"
518,2019 WEBSTER ST A San Francisco,"(37.7897497, -122.432535)"
520,946 IRVING ST B San Francisco,"(37.7641681, -122.4682314)"
522,1304 CASTRO ST San Francisco,"(37.7511386, -122.4343162)"
523,333 HAYES ST San Francisco,"(37.7768291, -122.4220135)"
525,3323 SACRAMENTO ST San Francisco,"(37.7880411, -122.4473901)"
526,1902 WEBSTER ST San Francisco,"(37.7884171, -122.4318255)"
528,350 PARNASSUS AVE San Francisco,"(37.7642385, -122.456233)"
534,435 EUCLID AVE San Francisco,"(37.7837483, -122.4533848)"
535,933 GENEVA AVE San Francisco,"(37.7164325, -122.4404073)"
537,459 FULTON ST San Francisco,"(37.778283, -122.4243351)"
538,2084 UNION ST San Francisco,"(37.7975287, -122.4336091)"
539,1947 DIVISADERO ST San Francisco,"(37.7877449, -122.4406925)"
546,2919 SACRAMENTO ST San Francisco,"(37.788847, -122.441124)"
548,2166 HAYES ST San Francisco,"(37.7734254, -122.4520203)"
549,1204 VICENTE ST San Francisco,"(37.73926840000001, -122.4802224)"
551,3667 SACRAMENTO ST San Francisco,"(37.7874258, -122.452989)"
553,204 CLEMENT ST San Francisco,"(37.7832738, -122.4614014)"
554,833 MARKET ST San Francisco,"(37.7848743, -122.406159)"
556,2345 CALIFORNIA ST San Francisco,"(37.788789, -122.43287)"
557,3609 SACRAMENTO ST San Francisco,"(37.787287, -122.4521466)"
561,2409 SACRAMENTO ST A San Francisco,"(37.7897252, -122.4328517)"
564,844 CALIFORNIA ST San Francisco,"(37.7924254, -122.4084726)"
566,3410 GEARY ST San Francisco,"(37.7817702, -122.4558614)"
569,3195 CALIFORNIA ST E San Francisco,"(37.7871368, -122.4465526)"
570,1939 DIVISADERO ST San Francisco,"(37.7876558, -122.4406964)"
572,842 CALIFORNIA ST San Francisco,"(37.7923556, -122.408454)"
579,2489 WASHINGTON ST San Francisco,"(37.7914569, -122.4341095)"
581,300 BRANNAN ST San Francisco,"(37.7818412, -122.3925962)"
583,525 IRVING ST San Francisco,"(37.7638494, -122.4635691)"
584,235 MONTGOMERY ST San Francisco,"(37.7917171, -122.402959)"
590,703 MARKET ST San Francisco,"(37.7871787, -122.4035824)"
591,1736 DIVISADERO ST San Francisco,"(37.7857845, -122.4397584)"
593,416 16TH AVE San Francisco,"(37.78014659999999, -122.4748415)"
603,879 14TH ST San Francisco,"(37.7673389, -122.432875)"
605,2481 CLAY ST San Francisco,"(37.7906324, -122.4339436)"
609,399 LAUREL ST San Francisco,"(37.7879106, -122.4504973)"
614,890 DOLORES ST San Francisco,"(37.755204, -122.42585)"
621,711 VAN NESS AVE San Francisco,"(37.7821403, -122.4213517)"
625,290 DIVISADERO ST San Francisco,"(37.7720507, -122.4369266)"
631,452 LILY ST San Francisco,"(37.7739166, -122.4283747)"
634,2506 CLAY ST San Francisco,"(37.7908835, -122.4345586)"
635,4333 CALIFORNIA ST San Francisco,"(37.784632, -122.4641187)"
647,1855 HAYES ST San Francisco,"(37.773607, -122.447038)"
652,198 MIRALOMA DR San Francisco,"(37.7360637, -122.4612597)"
653,3529 SACRAMENTO ST San Francisco,"(37.7875859, -122.4508645)"
